,0,0.25,0.5,0.75,1
0.1,0.5,0.5,0.5,0.5,0.5
0.6,0.415,0.415,0.365,0.3425,0.33
0.65,0.39,0.39,0.345,0.325,0.3125
0.7,0.36,0.36,0.325,0.3075,0.2975
0.75,0.33,0.33,0.3025,0.2875,0.28
0.8,0.2975,0.2975,0.2775,0.2675,0.2625
0.85,0.27,0.27,0.255,0.25,0.245
0.9,0.2375,0.2375,0.2325,0.23,0.2275
0.95,0.21,0.21,0.21,0.2125,0.2125
1,0.1775,0.1775,0.1875,0.1925,0.1975
1.05,0.1575,0.1575,0.1675,0.1775,0.1825
1.1,0.1375,0.1375,0.15,0.16,0.1675
1.15,0.1375,0.1375,0.1425,0.15,0.1575
1.2,0.135,0.135,0.135,0.14,0.1475
1.25,0.14,0.14,0.135,0.1375,0.1425
1.3,0.1425,0.1425,0.135,0.135,0.1375
2,0.1,0.1,0.1,0.1,0.1
